routine,median_time,std_time,tflops,tb_per_sec,backend,page_size,s_qo,s_kv,num_qo_heads,num_kv_heads,head_dim_qk,head_dim_vo,head_dim_ckv,head_dim_kpe,causal,q_dtype,kv_dtype,avg_actual_seq_len,random_actual_seq_len,m,n,k,group_size,tile_size,scale_major_mode,mma_sm,use_128x4_sf_layout,use_nvfp4,num_tokens,intermediate_size,num_experts,top_k,n_group,topk_group,routed_scaling_factor,local_expert_offset,local_num_experts,routing_method,use_shuffled_weight,weight_layout,use_routing_bias,use_routing_scales_on_input,weight_dtype,gated_act,cutlass_variant,quantized_input,tp_size,tp_rank,ep_size,ep_rank,num_tokens,hidden_size,num_experts,top_k,ep_size,input_dtype,quant_dtype,max_num_tokens,num_heads,scale,eps,enable_pdl,use_global_scale,is_sf_swizzled_layout,m,k,is_sf_swizzled_layout,alignment,enable_pdl,global_scale,sf_layout,do_shuffle,sf_vec_size,batch_size,hidden_size,input_dtype,out_dtype,refcheck,no_cuda_graph,use_cupti,allow_output_mismatch,random_seed,case_tag,generate_repro_command,repro_command
trtllm_fp8_block_scale_moe,0.08955199999999999,0.0008099686303939317,7.868535286760765,3.9345106306950153,trtllm,,,,,,,,,,,,,,,,,,,,,,,,1,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,1,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,0.14340799999999998,0.0007840003691892551,9.827109673100525,4.913858306370636,trtllm,,,,,,,,,,,,,,,,,,,,,,,,2,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,2,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,0.2148805,0.0008187389056076188,13.116929121069617,5.739061552816565,trtllm,,,,,,,,,,,,,,,,,,,,,,,,4,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,4,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,0.384433,0.0006818120431777512,14.66352934321455,6.415746910384903,trtllm,,,,,,,,,,,,,,,,,,,,,,,,8,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,8,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,0.6975525,0.0006299569297446675,16.162638872342942,6.81911239082363,trtllm,,,,,,,,,,,,,,,,,,,,,,,,16,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,16,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,1.048913,0.0010330547307217737,21.497091087630718,6.97042385021446,trtllm,,,,,,,,,,,,,,,,,,,,,,,,32,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,32,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,1.392915,0.0008737130605766527,32.376100916423475,7.020037305937548,trtllm,,,,,,,,,,,,,,,,,,,,,,,,64,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,64,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,1.592338,0.0011964256693260185,56.64269345829843,6.971455597994899,trtllm,,,,,,,,,,,,,,,,,,,,,,,,128,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,128,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,1.793857,0.0040746324442280145,100.55908939898777,6.288048440873492,trtllm,,,,,,,,,,,,,,,,,,,,,,,,256,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,256,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,2.367668,0.010590643375745477,152.3766224251035,4.766474975376615,trtllm,,,,,,,,,,,,,,,,,,,,,,,,512,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,512,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,2.7391235,0.009441196959719757,263.4253277473615,4.124155552679535,trtllm,,,,,,,,,,,,,,,,,,,,,,,,1024,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,1024,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,3.104212,0.048249479631690205,464.8873889592592,3.646288859137198,trtllm,,,,,,,,,,,,,,,,,,,,,,,,2048,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,2048,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,4.008725500000001,0.062150570225649,719.9839507374598,2.8346710474438814,trtllm,,,,,,,,,,,,,,,,,,,,,,,,4096,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,4096,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,7.0504255,0.07703751618853572,818.7358402445356,1.624376723362299,trtllm,,,,,,,,,,,,,,,,,,,,,,,,8192,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,8192,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
